"","PLZ","day","ticket"
"845",1304,"VE",192
"846",1304,"SA",232
"847",1305,"ME",183
"848",1305,"JE",151
"849",1305,"VE",150
"850",1305,"SA",142
"851",1306,"ME",58
"852",1306,"JE",48
"853",1306,"VE",33
"854",1306,"SA",55
"855",1307,"ME",13
"856",1307,"JE",27
"857",1307,"VE",25
"858",1307,"SA",12
"859",1308,"ME",3
"860",1308,"JE",4
"861",1308,"VE",2
"862",1308,"SA",6
"863",1312,"ME",40
"864",1312,"JE",14
"865",1312,"VE",20
"866",1312,"SA",29
"867",1313,"ME",16
"868",1313,"JE",5
"869",1313,"VE",10
"870",1313,"SA",20
"871",1315,"ME",123
"872",1315,"JE",41
"873",1315,"VE",49
"874",1315,"SA",59
"875",1316,"ME",8
"876",1316,"JE",35
"877",1316,"VE",26
"878",1316,"SA",6
"879",1317,"ME",9
"880",1317,"JE",10
"881",1317,"VE",15
"882",1317,"SA",12
"883",1318,"ME",28
"884",1318,"JE",17
"885",1318,"VE",9
"886",1318,"SA",23
"887",1321,"ME",29
"888",1321,"JE",15
"889",1321,"VE",7
"890",1321,"SA",22
"891",1322,"ME",22
"892",1322,"VE",4
"893",1323,"ME",2
"894",1323,"JE",7
"895",1323,"SA",7
"896",1324,"ME",3
"897",1324,"JE",2
"898",1324,"SA",4
"899",1325,"ME",1
"900",1325,"JE",6
"901",1325,"VE",1
"902",1325,"SA",6
"903",1326,"ME",2
"904",1326,"VE",4
"905",1326,"SA",7
"906",1329,"ME",1
"907",1329,"SA",6
"908",1337,"ME",46
"909",1337,"JE",77
"910",1337,"VE",28
"911",1337,"SA",26
"912",1338,"ME",5
"913",1338,"JE",8
"914",1338,"VE",2
"915",1338,"SA",3
"916",1341,"ME",10
"917",1341,"JE",4
"918",1341,"SA",4
"919",1342,"ME",8
"920",1342,"JE",5
"921",1342,"VE",2
"922",1343,"ME",6
"923",1343,"JE",1
"924",1344,"ME",4
"925",1344,"JE",8
"926",1344,"VE",2
"927",1345,"ME",1
"928",1345,"JE",2
"929",1345,"VE",2
"930",1345,"SA",2
"931",1346,"ME",3
"932",1346,"JE",2
"933",1346,"VE",2
"934",1346,"SA",3
"935",1347,"ME",28
"936",1347,"JE",19
"937",1347,"VE",1
"938",1347,"SA",11
"939",1348,"ME",17
"940",1348,"JE",16
"941",1348,"VE",4
"942",1348,"SA",7
"943",1350,"ME",143
"944",1350,"JE",81
"945",1350,"VE",33
"946",1350,"SA",56
"947",1352,"ME",11
"948",1352,"JE",2
"949",1352,"VE",2
"950",1352,"SA",12
"951",1353,"ME",5
"952",1353,"JE",11
"953",1353,"VE",3
"954",1353,"SA",4
"955",1354,"ME",7
"956",1354,"JE",2
"957",1354,"VE",7
"958",1354,"SA",6
"959",1355,"JE",1
"960",1355,"VE",4
"961",1355,"SA",3
"962",1356,"JE",3
"963",1357,"ME",6
"964",1357,"JE",8
"965",1357,"VE",2
"966",1357,"SA",3
"967",1358,"ME",10
"968",1358,"JE",9
"969",1358,"VE",6
"970",1358,"SA",6
"971",1363,"ME",1
"972",1370,"SA",4
"973",1372,"ME",18
"974",1372,"JE",29
"975",1372,"VE",20
"976",1372,"SA",26
"977",1373,"ME",97
"978",1373,"JE",55
"979",1373,"VE",37
"980",1373,"SA",38
"981",1374,"ME",11
"982",1374,"JE",4
"983",1374,"VE",2
"984",1374,"SA",6
"985",1375,"ME",9
"986",1375,"JE",16
"987",1375,"VE",12
"988",1375,"SA",18
"989",1376,"ME",35
"990",1376,"JE",31
"991",1376,"VE",32
"992",1376,"SA",19
"993",1377,"ME",30
"994",1377,"JE",17
"995",1377,"VE",18
"996",1377,"SA",21
"997",1400,"ME",316
"998",1400,"JE",145
"999",1400,"VE",113
"1000",1400,"SA",141
"1001",1404,"ME",2
"1002",1404,"JE",4
"1003",1404,"VE",4
"1004",1404,"SA",3
"1005",1405,"ME",16
"1006",1405,"JE",7
"1007",1405,"VE",13
"1008",1405,"SA",10
"1009",1406,"ME",6
"1010",1406,"JE",4
"1011",1406,"VE",11
"1012",1406,"SA",7
"1013",1407,"ME",8
"1014",1407,"JE",27
"1015",1407,"VE",3
